,Quarter,HB_x,HBT,CancerType,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferralsTreatedWithin31Days,HBName,HBDateArchived,Country
7079,2021Q1,S08000016,S08000024,All Cancer Types,22.0,22.0,NHS Lothian,,S92000003
7080,2021Q1,S08000017,S08000024,All Cancer Types,34.0,32.0,NHS Lothian,,S92000003
7081,2021Q1,S08000019,S08000024,All Cancer Types,5.0,5.0,NHS Lothian,,S92000003
7082,2021Q1,S08000020,S08000024,All Cancer Types,2.0,2.0,NHS Lothian,,S92000003
7083,2021Q1,S08000022,S08000024,All Cancer Types,6.0,6.0,NHS Lothian,,S92000003
7084,2021Q1,S08000024,S08000024,All Cancer Types,914.0,896.0,NHS Lothian,,S92000003
7085,2021Q1,S08000029,S08000024,All Cancer Types,59.0,58.0,NHS Lothian,,S92000003
7086,2021Q1,S08000030,S08000024,All Cancer Types,6.0,6.0,NHS Lothian,,S92000003
7087,2021Q1,S08000032,S08000024,All Cancer Types,2.0,1.0,NHS Lothian,,S92000003
7088,2021Q2,S08000016,S08000024,Breast,1.0,1.0,NHS Lothian,,S92000003
7089,2021Q2,S08000016,S08000024,Head & Neck,3.0,3.0,NHS Lothian,,S92000003
7090,2021Q2,S08000016,S08000024,Lung,3.0,3.0,NHS Lothian,,S92000003
7091,2021Q2,S08000016,S08000024,Upper GI,3.0,3.0,NHS Lothian,,S92000003
7092,2021Q2,S08000016,S08000024,Urological,4.0,4.0,NHS Lothian,,S92000003
7093,2021Q2,S08000017,S08000024,Cervical,1.0,1.0,NHS Lothian,,S92000003
7094,2021Q2,S08000017,S08000024,Colorectal,3.0,3.0,NHS Lothian,,S92000003
7095,2021Q2,S08000017,S08000024,Head & Neck,12.0,12.0,NHS Lothian,,S92000003
7096,2021Q2,S08000017,S08000024,Lung,5.0,5.0,NHS Lothian,,S92000003
7097,2021Q2,S08000017,S08000024,Ovarian,2.0,2.0,NHS Lothian,,S92000003
7098,2021Q2,S08000017,S08000024,Upper GI,5.0,5.0,NHS Lothian,,S92000003
7099,2021Q2,S08000017,S08000024,Urological,6.0,5.0,NHS Lothian,,S92000003
7100,2021Q2,S08000019,S08000024,Upper GI,4.0,4.0,NHS Lothian,,S92000003
7101,2021Q2,S08000020,S08000024,Upper GI,1.0,1.0,NHS Lothian,,S92000003
7102,2021Q2,S08000022,S08000024,Melanoma,2.0,2.0,NHS Lothian,,S92000003
7103,2021Q2,S08000022,S08000024,Upper GI,2.0,2.0,NHS Lothian,,S92000003
7104,2021Q2,S08000022,S08000024,Urological,4.0,4.0,NHS Lothian,,S92000003
7105,2021Q2,S08000024,S08000024,Breast,234.0,234.0,NHS Lothian,,S92000003
7106,2021Q2,S08000024,S08000024,Cervical,9.0,9.0,NHS Lothian,,S92000003
7107,2021Q2,S08000024,S08000024,Colorectal,125.0,123.0,NHS Lothian,,S92000003
7108,2021Q2,S08000024,S08000024,Head & Neck,61.0,61.0,NHS Lothian,,S92000003
7109,2021Q2,S08000024,S08000024,Lung,141.0,141.0,NHS Lothian,,S92000003
7110,2021Q2,S08000024,S08000024,Lymphoma,42.0,42.0,NHS Lothian,,S92000003
7111,2021Q2,S08000024,S08000024,Melanoma,53.0,53.0,NHS Lothian,,S92000003
7112,2021Q2,S08000024,S08000024,Ovarian,13.0,13.0,NHS Lothian,,S92000003
7113,2021Q2,S08000024,S08000024,Upper GI,107.0,107.0,NHS Lothian,,S92000003
7114,2021Q2,S08000024,S08000024,Urological,163.0,154.0,NHS Lothian,,S92000003
7115,2021Q2,S08000026,S08000024,Urological,1.0,1.0,NHS Lothian,,S92000003
7116,2021Q2,S08000029,S08000024,Cervical,1.0,1.0,NHS Lothian,,S92000003
7117,2021Q2,S08000029,S08000024,Colorectal,7.0,7.0,NHS Lothian,,S92000003
7118,2021Q2,S08000029,S08000024,Head & Neck,8.0,8.0,NHS Lothian,,S92000003
7119,2021Q2,S08000029,S08000024,Lung,28.0,28.0,NHS Lothian,,S92000003
7120,2021Q2,S08000029,S08000024,Lymphoma,1.0,1.0,NHS Lothian,,S92000003
7121,2021Q2,S08000029,S08000024,Ovarian,1.0,1.0,NHS Lothian,,S92000003
7122,2021Q2,S08000029,S08000024,Upper GI,13.0,13.0,NHS Lothian,,S92000003
7123,2021Q2,S08000029,S08000024,Urological,19.0,19.0,NHS Lothian,,S92000003
7124,2021Q2,S08000030,S08000024,Lung,8.0,8.0,NHS Lothian,,S92000003
7125,2021Q2,S08000030,S08000024,Urological,3.0,3.0,NHS Lothian,,S92000003
7126,2021Q2,S08000031,S08000024,Upper GI,1.0,1.0,NHS Lothian,,S92000003
7127,2021Q2,S08000032,S08000024,Upper GI,2.0,2.0,NHS Lothian,,S92000003
7128,2021Q2,S08000016,S08000024,All Cancer Types,14.0,14.0,NHS Lothian,,S92000003
7129,2021Q2,S08000017,S08000024,All Cancer Types,34.0,33.0,NHS Lothian,,S92000003
7130,2021Q2,S08000019,S08000024,All Cancer Types,4.0,4.0,NHS Lothian,,S92000003
7131,2021Q2,S08000020,S08000024,All Cancer Types,1.0,1.0,NHS Lothian,,S92000003
7132,2021Q2,S08000022,S08000024,All Cancer Types,8.0,8.0,NHS Lothian,,S92000003
7133,2021Q2,S08000024,S08000024,All Cancer Types,948.0,937.0,NHS Lothian,,S92000003
7134,2021Q2,S08000026,S08000024,All Cancer Types,1.0,1.0,NHS Lothian,,S92000003
7135,2021Q2,S08000029,S08000024,All Cancer Types,78.0,78.0,NHS Lothian,,S92000003
7136,2021Q2,S08000030,S08000024,All Cancer Types,11.0,11.0,NHS Lothian,,S92000003
7137,2021Q2,S08000031,S08000024,All Cancer Types,1.0,1.0,NHS Lothian,,S92000003
7138,2021Q2,S08000032,S08000024,All Cancer Types,2.0,2.0,NHS Lothian,,S92000003
7139,2021Q3,S08000016,S08000024,Head & Neck,3.0,3.0,NHS Lothian,,S92000003
7140,2021Q3,S08000016,S08000024,Lung,4.0,4.0,NHS Lothian,,S92000003
7141,2021Q3,S08000016,S08000024,Ovarian,1.0,1.0,NHS Lothian,,S92000003
7142,2021Q3,S08000016,S08000024,Upper GI,1.0,1.0,NHS Lothian,,S92000003
7143,2021Q3,S08000016,S08000024,Urological,6.0,6.0,NHS Lothian,,S92000003
7144,2021Q3,S08000017,S08000024,Breast,2.0,2.0,NHS Lothian,,S92000003
7145,2021Q3,S08000017,S08000024,Cervical,1.0,1.0,NHS Lothian,,S92000003
7146,2021Q3,S08000017,S08000024,Colorectal,2.0,2.0,NHS Lothian,,S92000003
7147,2021Q3,S08000017,S08000024,Head & Neck,6.0,6.0,NHS Lothian,,S92000003
7148,2021Q3,S08000017,S08000024,Lung,10.0,10.0,NHS Lothian,,S92000003
7149,2021Q3,S08000017,S08000024,Upper GI,8.0,8.0,NHS Lothian,,S92000003
7150,2021Q3,S08000017,S08000024,Urological,16.0,15.0,NHS Lothian,,S92000003
7151,2021Q3,S08000019,S08000024,Colorectal,1.0,1.0,NHS Lothian,,S92000003
7152,2021Q3,S08000019,S08000024,Upper GI,8.0,8.0,NHS Lothian,,S92000003
7153,2021Q3,S08000020,S08000024,Upper GI,2.0,2.0,NHS Lothian,,S92000003
7154,2021Q3,S08000022,S08000024,Breast,1.0,1.0,NHS Lothian,,S92000003
7155,2021Q3,S08000022,S08000024,Head & Neck,1.0,1.0,NHS Lothian,,S92000003
7156,2021Q3,S08000022,S08000024,Urological,4.0,4.0,NHS Lothian,,S92000003
7157,2021Q3,S08000024,S08000024,Breast,249.0,249.0,NHS Lothian,,S92000003
7158,2021Q3,S08000024,S08000024,Cervical,14.0,14.0,NHS Lothian,,S92000003
7159,2021Q3,S08000024,S08000024,Colorectal,149.0,142.0,NHS Lothian,,S92000003
7160,2021Q3,S08000024,S08000024,Head & Neck,42.0,42.0,NHS Lothian,,S92000003
7161,2021Q3,S08000024,S08000024,Lung,177.0,177.0,NHS Lothian,,S92000003
7162,2021Q3,S08000024,S08000024,Lymphoma,37.0,36.0,NHS Lothian,,S92000003
7163,2021Q3,S08000024,S08000024,Melanoma,56.0,54.0,NHS Lothian,,S92000003
7164,2021Q3,S08000024,S08000024,Ovarian,15.0,15.0,NHS Lothian,,S92000003
7165,2021Q3,S08000024,S08000024,Upper GI,114.0,113.0,NHS Lothian,,S92000003
7166,2021Q3,S08000024,S08000024,Urological,188.0,172.0,NHS Lothian,,S92000003
7167,2021Q3,S08000029,S08000024,Cervical,3.0,3.0,NHS Lothian,,S92000003
7168,2021Q3,S08000029,S08000024,Colorectal,4.0,4.0,NHS Lothian,,S92000003
7169,2021Q3,S08000029,S08000024,Head & Neck,6.0,6.0,NHS Lothian,,S92000003
7170,2021Q3,S08000029,S08000024,Lung,26.0,26.0,NHS Lothian,,S92000003
7171,2021Q3,S08000029,S08000024,Lymphoma,1.0,1.0,NHS Lothian,,S92000003
7172,2021Q3,S08000029,S08000024,Ovarian,1.0,1.0,NHS Lothian,,S92000003
7173,2021Q3,S08000029,S08000024,Upper GI,8.0,8.0,NHS Lothian,,S92000003
7174,2021Q3,S08000029,S08000024,Urological,11.0,11.0,NHS Lothian,,S92000003
7175,2021Q3,S08000030,S08000024,Lung,4.0,4.0,NHS Lothian,,S92000003
7176,2021Q3,S08000030,S08000024,Upper GI,1.0,1.0,NHS Lothian,,S92000003
7177,2021Q3,S08000031,S08000024,Upper GI,1.0,1.0,NHS Lothian,,S92000003
7178,2021Q3,S08000031,S08000024,Urological,1.0,1.0,NHS Lothian,,S92000003
7179,2021Q3,S08000016,S08000024,All Cancer Types,15.0,15.0,NHS Lothian,,S92000003
7180,2021Q3,S08000017,S08000024,All Cancer Types,45.0,44.0,NHS Lothian,,S92000003
7181,2021Q3,S08000019,S08000024,All Cancer Types,9.0,9.0,NHS Lothian,,S92000003
7182,2021Q3,S08000020,S08000024,All Cancer Types,2.0,2.0,NHS Lothian,,S92000003
7183,2021Q3,S08000022,S08000024,All Cancer Types,6.0,6.0,NHS Lothian,,S92000003
7184,2021Q3,S08000024,S08000024,All Cancer Types,1041.0,1014.0,NHS Lothian,,S92000003
7185,2021Q3,S08000029,S08000024,All Cancer Types,60.0,60.0,NHS Lothian,,S92000003
7186,2021Q3,S08000030,S08000024,All Cancer Types,5.0,5.0,NHS Lothian,,S92000003
7187,2021Q3,S08000031,S08000024,All Cancer Types,2.0,2.0,NHS Lothian,,S92000003
7188,2021Q4,S08000015,S08000024,Upper GI,1.0,0.0,NHS Lothian,,S92000003
7189,2021Q4,S08000016,S08000024,Breast,1.0,1.0,NHS Lothian,,S92000003
7190,2021Q4,S08000016,S08000024,Colorectal,3.0,3.0,NHS Lothian,,S92000003
7191,2021Q4,S08000016,S08000024,Head & Neck,4.0,4.0,NHS Lothian,,S92000003
7192,2021Q4,S08000016,S08000024,Lung,3.0,3.0,NHS Lothian,,S92000003
7193,2021Q4,S08000016,S08000024,Melanoma,1.0,1.0,NHS Lothian,,S92000003
7194,2021Q4,S08000016,S08000024,Ovarian,1.0,1.0,NHS Lothian,,S92000003
7195,2021Q4,S08000016,S08000024,Upper GI,3.0,3.0,NHS Lothian,,S92000003
7196,2021Q4,S08000016,S08000024,Urological,4.0,4.0,NHS Lothian,,S92000003
7197,2021Q4,S08000017,S08000024,Breast,1.0,1.0,NHS Lothian,,S92000003
7198,2021Q4,S08000017,S08000024,Cervical,1.0,1.0,NHS Lothian,,S92000003
7199,2021Q4,S08000017,S08000024,Colorectal,1.0,1.0,NHS Lothian,,S92000003
7200,2021Q4,S08000017,S08000024,Head & Neck,3.0,3.0,NHS Lothian,,S92000003
7201,2021Q4,S08000017,S08000024,Lung,7.0,7.0,NHS Lothian,,S92000003
7202,2021Q4,S08000017,S08000024,Melanoma,1.0,1.0,NHS Lothian,,S92000003
7203,2021Q4,S08000017,S08000024,Ovarian,1.0,1.0,NHS Lothian,,S92000003
7204,2021Q4,S08000017,S08000024,Upper GI,10.0,9.0,NHS Lothian,,S92000003
7205,2021Q4,S08000017,S08000024,Urological,7.0,6.0,NHS Lothian,,S92000003
7206,2021Q4,S08000019,S08000024,Upper GI,7.0,7.0,NHS Lothian,,S92000003
7207,2021Q4,S08000020,S08000024,Urological,1.0,1.0,NHS Lothian,,S92000003
7208,2021Q4,S08000022,S08000024,Urological,1.0,1.0,NHS Lothian,,S92000003
7209,2021Q4,S08000024,S08000024,Breast,285.0,285.0,NHS Lothian,,S92000003
7210,2021Q4,S08000024,S08000024,Cervical,7.0,7.0,NHS Lothian,,S92000003
7211,2021Q4,S08000024,S08000024,Colorectal,150.0,141.0,NHS Lothian,,S92000003
7212,2021Q4,S08000024,S08000024,Head & Neck,38.0,38.0,NHS Lothian,,S92000003
7213,2021Q4,S08000024,S08000024,Lung,152.0,152.0,NHS Lothian,,S92000003
7214,2021Q4,S08000024,S08000024,Lymphoma,35.0,35.0,NHS Lothian,,S92000003
7215,2021Q4,S08000024,S08000024,Melanoma,44.0,44.0,NHS Lothian,,S92000003
7216,2021Q4,S08000024,S08000024,Ovarian,12.0,12.0,NHS Lothian,,S92000003
7217,2021Q4,S08000024,S08000024,Upper GI,104.0,104.0,NHS Lothian,,S92000003
7218,2021Q4,S08000024,S08000024,Urological,214.0,207.0,NHS Lothian,,S92000003
7219,2021Q4,S08000029,S08000024,Breast,3.0,3.0,NHS Lothian,,S92000003
7220,2021Q4,S08000029,S08000024,Cervical,2.0,1.0,NHS Lothian,,S92000003
7221,2021Q4,S08000029,S08000024,Colorectal,1.0,1.0,NHS Lothian,,S92000003
7222,2021Q4,S08000029,S08000024,Head & Neck,9.0,9.0,NHS Lothian,,S92000003
7223,2021Q4,S08000029,S08000024,Lung,19.0,19.0,NHS Lothian,,S92000003
7224,2021Q4,S08000029,S08000024,Ovarian,1.0,1.0,NHS Lothian,,S92000003
7225,2021Q4,S08000029,S08000024,Upper GI,9.0,9.0,NHS Lothian,,S92000003
7226,2021Q4,S08000029,S08000024,Urological,16.0,16.0,NHS Lothian,,S92000003
7227,2021Q4,S08000030,S08000024,Lung,6.0,5.0,NHS Lothian,,S92000003
7228,2021Q4,S08000030,S08000024,Urological,1.0,1.0,NHS Lothian,,S92000003
7229,2021Q4,S08000032,S08000024,Upper GI,4.0,4.0,NHS Lothian,,S92000003
7230,2021Q4,S08000015,S08000024,All Cancer Types,1.0,0.0,NHS Lothian,,S92000003
7231,2021Q4,S08000016,S08000024,All Cancer Types,20.0,20.0,NHS Lothian,,S92000003
7232,2021Q4,S08000017,S08000024,All Cancer Types,32.0,30.0,NHS Lothian,,S92000003
7233,2021Q4,S08000019,S08000024,All Cancer Types,7.0,7.0,NHS Lothian,,S92000003
7234,2021Q4,S08000020,S08000024,All Cancer Types,1.0,1.0,NHS Lothian,,S92000003
7235,2021Q4,S08000022,S08000024,All Cancer Types,1.0,1.0,NHS Lothian,,S92000003
7236,2021Q4,S08000024,S08000024,All Cancer Types,1041.0,1025.0,NHS Lothian,,S92000003
7237,2021Q4,S08000029,S08000024,All Cancer Types,60.0,59.0,NHS Lothian,,S92000003
7238,2021Q4,S08000030,S08000024,All Cancer Types,7.0,6.0,NHS Lothian,,S92000003
7239,2021Q4,S08000032,S08000024,All Cancer Types,4.0,4.0,NHS Lothian,,S92000003
7240,2012Q1,S08000019,S08000019,Breast,41.0,40.0,NHS Forth Valley,,S92000003
7241,2012Q1,S08000019,S08000019,Cervical,1.0,1.0,NHS Forth Valley,,S92000003
7242,2012Q1,S08000019,S08000019,Colorectal,43.0,42.0,NHS Forth Valley,,S92000003
7243,2012Q1,S08000019,S08000019,Head & Neck,3.0,3.0,NHS Forth Valley,,S92000003
7244,2012Q1,S08000019,S08000019,Lung,27.0,27.0,NHS Forth Valley,,S92000003
7245,2012Q1,S08000019,S08000019,Lymphoma,12.0,12.0,NHS Forth Valley,,S92000003
7246,2012Q1,S08000019,S08000019,Melanoma,9.0,9.0,NHS Forth Valley,,S92000003
7247,2012Q1,S08000019,S08000019,Ovarian,6.0,6.0,NHS Forth Valley,,S92000003
7248,2012Q1,S08000019,S08000019,Upper GI,20.0,20.0,NHS Forth Valley,,S92000003
7249,2012Q1,S08000019,S08000019,Urological,64.0,56.0,NHS Forth Valley,,S92000003
7250,2012Q1,S08000024,S08000019,Breast,1.0,1.0,NHS Forth Valley,,S92000003
7251,2012Q2,S08000019,S08000019,Breast,54.0,54.0,NHS Forth Valley,,S92000003
7252,2012Q2,S08000019,S08000019,Cervical,1.0,1.0,NHS Forth Valley,,S92000003
7253,2012Q2,S08000019,S08000019,Colorectal,49.0,47.0,NHS Forth Valley,,S92000003
7254,2012Q2,S08000019,S08000019,Head & Neck,7.0,7.0,NHS Forth Valley,,S92000003
7255,2012Q2,S08000019,S08000019,Lung,23.0,23.0,NHS Forth Valley,,S92000003
7256,2012Q2,S08000019,S08000019,Lymphoma,12.0,12.0,NHS Forth Valley,,S92000003
7257,2012Q2,S08000019,S08000019,Melanoma,7.0,7.0,NHS Forth Valley,,S92000003
7258,2012Q2,S08000019,S08000019,Ovarian,1.0,1.0,NHS Forth Valley,,S92000003
7259,2012Q2,S08000019,S08000019,Upper GI,21.0,21.0,NHS Forth Valley,,S92000003
7260,2012Q2,S08000019,S08000019,Urological,56.0,43.0,NHS Forth Valley,,S92000003
7261,2012Q2,S08000024,S08000019,Breast,4.0,4.0,NHS Forth Valley,,S92000003
7262,2012Q2,S08000029,S08000019,Urological,1.0,1.0,NHS Forth Valley,,S92000003
7263,2012Q3,S08000015,S08000019,Urological,1.0,1.0,NHS Forth Valley,,S92000003
7264,2012Q3,S08000019,S08000019,Breast,44.0,44.0,NHS Forth Valley,,S92000003
7265,2012Q3,S08000019,S08000019,Cervical,1.0,1.0,NHS Forth Valley,,S92000003
7266,2012Q3,S08000019,S08000019,Colorectal,31.0,28.0,NHS Forth Valley,,S92000003
7267,2012Q3,S08000019,S08000019,Head & Neck,13.0,13.0,NHS Forth Valley,,S92000003
7268,2012Q3,S08000019,S08000019,Lung,37.0,37.0,NHS Forth Valley,,S92000003
7269,2012Q3,S08000019,S08000019,Lymphoma,11.0,11.0,NHS Forth Valley,,S92000003
7270,2012Q3,S08000019,S08000019,Melanoma,11.0,11.0,NHS Forth Valley,,S92000003
7271,2012Q3,S08000019,S08000019,Ovarian,1.0,1.0,NHS Forth Valley,,S92000003
7272,2012Q3,S08000019,S08000019,Upper GI,32.0,32.0,NHS Forth Valley,,S92000003
7273,2012Q3,S08000019,S08000019,Urological,49.0,45.0,NHS Forth Valley,,S92000003
7274,2012Q3,S08000024,S08000019,Breast,1.0,1.0,NHS Forth Valley,,S92000003
7275,2012Q4,S08000019,S08000019,Breast,42.0,42.0,NHS Forth Valley,,S92000003
7276,2012Q4,S08000019,S08000019,Colorectal,48.0,46.0,NHS Forth Valley,,S92000003
7277,2012Q4,S08000019,S08000019,Head & Neck,10.0,10.0,NHS Forth Valley,,S92000003
7278,2012Q4,S08000019,S08000019,Lung,28.0,28.0,NHS Forth Valley,,S92000003
7279,2012Q4,S08000019,S08000019,Lymphoma,12.0,12.0,NHS Forth Valley,,S92000003
7280,2012Q4,S08000019,S08000019,Melanoma,15.0,15.0,NHS Forth Valley,,S92000003
7281,2012Q4,S08000019,S08000019,Ovarian,3.0,3.0,NHS Forth Valley,,S92000003
7282,2012Q4,S08000019,S08000019,Upper GI,25.0,25.0,NHS Forth Valley,,S92000003
7283,2012Q4,S08000019,S08000019,Urological,45.0,45.0,NHS Forth Valley,,S92000003
7284,2012Q4,S08000024,S08000019,Breast,1.0,1.0,NHS Forth Valley,,S92000003
7285,2013Q1,S08000019,S08000019,Breast,36.0,34.0,NHS Forth Valley,,S92000003
7286,2013Q1,S08000019,S08000019,Colorectal,53.0,51.0,NHS Forth Valley,,S92000003
7287,2013Q1,S08000019,S08000019,Head & Neck,2.0,2.0,NHS Forth Valley,,S92000003
7288,2013Q1,S08000019,S08000019,Lung,28.0,28.0,NHS Forth Valley,,S92000003
7289,2013Q1,S08000019,S08000019,Lymphoma,9.0,9.0,NHS Forth Valley,,S92000003
7290,2013Q1,S08000019,S08000019,Melanoma,11.0,11.0,NHS Forth Valley,,S92000003
7291,2013Q1,S08000019,S08000019,Ovarian,1.0,1.0,NHS Forth Valley,,S92000003
7292,2013Q1,S08000019,S08000019,Upper GI,28.0,28.0,NHS Forth Valley,,S92000003
7293,2013Q1,S08000019,S08000019,Urological,48.0,47.0,NHS Forth Valley,,S92000003
7294,2013Q2,S08000019,S08000019,Breast,54.0,53.0,NHS Forth Valley,,S92000003
7295,2013Q2,S08000019,S08000019,Colorectal,45.0,42.0,NHS Forth Valley,,S92000003
7296,2013Q2,S08000019,S08000019,Head & Neck,8.0,8.0,NHS Forth Valley,,S92000003
7297,2013Q2,S08000019,S08000019,Lung,25.0,25.0,NHS Forth Valley,,S92000003
7298,2013Q2,S08000019,S08000019,Lymphoma,19.0,19.0,NHS Forth Valley,,S92000003
7299,2013Q2,S08000019,S08000019,Melanoma,18.0,15.0,NHS Forth Valley,,S92000003
7300,2013Q2,S08000019,S08000019,Ovarian,5.0,4.0,NHS Forth Valley,,S92000003
7301,2013Q2,S08000019,S08000019,Upper GI,21.0,21.0,NHS Forth Valley,,S92000003
7302,2013Q2,S08000019,S08000019,Urological,51.0,50.0,NHS Forth Valley,,S92000003
7303,2013Q2,S08000024,S08000019,Breast,1.0,1.0,NHS Forth Valley,,S92000003
7304,2013Q3,S08000019,S08000019,Breast,59.0,58.0,NHS Forth Valley,,S92000003
7305,2013Q3,S08000019,S08000019,Cervical,1.0,1.0,NHS Forth Valley,,S92000003
7306,2013Q3,S08000019,S08000019,Colorectal,31.0,31.0,NHS Forth Valley,,S92000003
7307,2013Q3,S08000019,S08000019,Head & Neck,4.0,4.0,NHS Forth Valley,,S92000003
7308,2013Q3,S08000019,S08000019,Lung,35.0,35.0,NHS Forth Valley,,S92000003
7309,2013Q3,S08000019,S08000019,Lymphoma,15.0,15.0,NHS Forth Valley,,S92000003
7310,2013Q3,S08000019,S08000019,Melanoma,10.0,7.0,NHS Forth Valley,,S92000003
7311,2013Q3,S08000019,S08000019,Ovarian,4.0,4.0,NHS Forth Valley,,S92000003
7312,2013Q3,S08000019,S08000019,Upper GI,19.0,19.0,NHS Forth Valley,,S92000003
7313,2013Q3,S08000019,S08000019,Urological,36.0,31.0,NHS Forth Valley,,S92000003
7314,2013Q3,S08000024,S08000019,Breast,1.0,1.0,NHS Forth Valley,,S92000003
7315,2013Q4,S08000019,S08000019,Breast,49.0,49.0,NHS Forth Valley,,S92000003
7316,2013Q4,S08000019,S08000019,Cervical,2.0,2.0,NHS Forth Valley,,S92000003
7317,2013Q4,S08000019,S08000019,Colorectal,28.0,27.0,NHS Forth Valley,,S92000003
7318,2013Q4,S08000019,S08000019,Head & Neck,5.0,5.0,NHS Forth Valley,,S92000003
7319,2013Q4,S08000019,S08000019,Lung,30.0,30.0,NHS Forth Valley,,S92000003
7320,2013Q4,S08000019,S08000019,Lymphoma,10.0,10.0,NHS Forth Valley,,S92000003
7321,2013Q4,S08000019,S08000019,Melanoma,13.0,12.0,NHS Forth Valley,,S92000003
7322,2013Q4,S08000019,S08000019,Ovarian,2.0,2.0,NHS Forth Valley,,S92000003
7323,2013Q4,S08000019,S08000019,Upper GI,29.0,29.0,NHS Forth Valley,,S92000003
7324,2013Q4,S08000019,S08000019,Urological,67.0,64.0,NHS Forth Valley,,S92000003
7325,2013Q4,S08000024,S08000019,Breast,2.0,2.0,NHS Forth Valley,,S92000003
7326,2013Q4,S08000031,S08000019,Breast,9.0,9.0,NHS Forth Valley,,S92000003
7327,2014Q1,S08000019,S08000019,Breast,36.0,36.0,NHS Forth Valley,,S92000003
7328,2014Q1,S08000019,S08000019,Cervical,1.0,1.0,NHS Forth Valley,,S92000003
7329,2014Q1,S08000019,S08000019,Colorectal,34.0,32.0,NHS Forth Valley,,S92000003
7330,2014Q1,S08000019,S08000019,Head & Neck,6.0,6.0,NHS Forth Valley,,S92000003
7331,2014Q1,S08000019,S08000019,Lung,27.0,27.0,NHS Forth Valley,,S92000003
7332,2014Q1,S08000019,S08000019,Lymphoma,14.0,14.0,NHS Forth Valley,,S92000003
7333,2014Q1,S08000019,S08000019,Melanoma,7.0,6.0,NHS Forth Valley,,S92000003
7334,2014Q1,S08000019,S08000019,Ovarian,1.0,1.0,NHS Forth Valley,,S92000003
7335,2014Q1,S08000019,S08000019,Upper GI,13.0,13.0,NHS Forth Valley,,S92000003
7336,2014Q1,S08000019,S08000019,Urological,67.0,67.0,NHS Forth Valley,,S92000003
7337,2014Q1,S08000022,S08000019,Breast,1.0,1.0,NHS Forth Valley,,S92000003
7338,2014Q1,S08000031,S08000019,Breast,9.0,9.0,NHS Forth Valley,,S92000003
7339,2014Q2,S08000019,S08000019,Breast,40.0,40.0,NHS Forth Valley,,S92000003
7340,2014Q2,S08000019,S08000019,Cervical,2.0,2.0,NHS Forth Valley,,S92000003
7341,2014Q2,S08000019,S08000019,Colorectal,32.0,32.0,NHS Forth Valley,,S92000003
7342,2014Q2,S08000019,S08000019,Head & Neck,3.0,3.0,NHS Forth Valley,,S92000003
7343,2014Q2,S08000019,S08000019,Lung,38.0,38.0,NHS Forth Valley,,S92000003
7344,2014Q2,S08000019,S08000019,Lymphoma,16.0,16.0,NHS Forth Valley,,S92000003
7345,2014Q2,S08000019,S08000019,Melanoma,9.0,8.0,NHS Forth Valley,,S92000003
7346,2014Q2,S08000019,S08000019,Ovarian,1.0,1.0,NHS Forth Valley,,S92000003
7347,2014Q2,S08000019,S08000019,Upper GI,20.0,20.0,NHS Forth Valley,,S92000003
7348,2014Q2,S08000019,S08000019,Urological,72.0,72.0,NHS Forth Valley,,S92000003
7349,2014Q2,S08000031,S08000019,Breast,6.0,6.0,NHS Forth Valley,,S92000003
7350,2014Q3,S08000019,S08000019,Breast,38.0,37.0,NHS Forth Valley,,S92000003
7351,2014Q3,S08000019,S08000019,Cervical,2.0,2.0,NHS Forth Valley,,S92000003
7352,2014Q3,S08000019,S08000019,Colorectal,36.0,35.0,NHS Forth Valley,,S92000003
7353,2014Q3,S08000019,S08000019,Head & Neck,7.0,7.0,NHS Forth Valley,,S92000003
7354,2014Q3,S08000019,S08000019,Lung,32.0,32.0,NHS Forth Valley,,S92000003
7355,2014Q3,S08000019,S08000019,Lymphoma,9.0,9.0,NHS Forth Valley,,S92000003
7356,2014Q3,S08000019,S08000019,Melanoma,10.0,9.0,NHS Forth Valley,,S92000003
7357,2014Q3,S08000019,S08000019,Ovarian,2.0,2.0,NHS Forth Valley,,S92000003
7358,2014Q3,S08000019,S08000019,Upper GI,12.0,12.0,NHS Forth Valley,,S92000003
7359,2014Q3,S08000019,S08000019,Urological,59.0,58.0,NHS Forth Valley,,S92000003
7360,2014Q3,S08000031,S08000019,Breast,8.0,8.0,NHS Forth Valley,,S92000003
7361,2014Q4,S08000019,S08000019,Breast,47.0,45.0,NHS Forth Valley,,S92000003
7362,2014Q4,S08000019,S08000019,Cervical,3.0,2.0,NHS Forth Valley,,S92000003
7363,2014Q4,S08000019,S08000019,Colorectal,40.0,40.0,NHS Forth Valley,,S92000003
7364,2014Q4,S08000019,S08000019,Head & Neck,4.0,4.0,NHS Forth Valley,,S92000003
7365,2014Q4,S08000019,S08000019,Lung,42.0,42.0,NHS Forth Valley,,S92000003
7366,2014Q4,S08000019,S08000019,Lymphoma,16.0,16.0,NHS Forth Valley,,S92000003
7367,2014Q4,S08000019,S08000019,Melanoma,15.0,14.0,NHS Forth Valley,,S92000003
7368,2014Q4,S08000019,S08000019,Ovarian,5.0,5.0,NHS Forth Valley,,S92000003
7369,2014Q4,S08000019,S08000019,Upper GI,20.0,20.0,NHS Forth Valley,,S92000003
7370,2014Q4,S08000019,S08000019,Urological,62.0,62.0,NHS Forth Valley,,S92000003
